,Order ID,Gender,Visting,PaperlessBilling,PaymentMethod,Monthly Spending,Total Spending,Churn
0,CA-2016-152156,Female,Month-to-month,Yes,Electronic check,29.85,29.85,No
1,CA-2016-152156,Male,One year,No,Mailed check,56.95,1889.5,No
2,CA-2016-138688,Female,Month-to-month,Yes,Mailed check,53.85,108.15,Yes
3,US-2015-108966,Male,One year,No,Bank transfer (automatic),42.3,1840.75,No
4,US-2015-108966,Female,Month-to-month,Yes,Electronic check,70.7,151.65,Yes
5,CA-2014-115812,Male,Month-to-month,Yes,Electronic check,99.65,820.5,Yes
6,CA-2014-115812,Male,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No
7,CA-2014-115812,Female,Month-to-month,No,Mailed check,29.75,301.9,No
8,CA-2014-115812,Male,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes
9,CA-2014-115812,Male,One year,No,Bank transfer (automatic),56.15,3487.95,No
10,CA-2014-115812,Male,Month-to-month,Yes,Mailed check,49.95,587.45,No
11,CA-2014-115812,Female,Two year,No,Credit card (automatic),18.95,326.8,No
12,CA-2017-114412,Male,One year,No,Credit card (automatic),100.35,5681.1,No
13,CA-2016-161389,Male,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes
14,US-2015-118983,Male,Month-to-month,Yes,Electronic check,105.5,2686.05,No
15,US-2015-118983,Female,Two year,No,Credit card (automatic),113.25,7895.15,No
16,CA-2014-105893,Female,One year,No,Mailed check,20.65,1022.95,No
17,CA-2014-167164,Male,Two year,No,Bank transfer (automatic),106.7,7382.25,No
18,CA-2014-143336,Male,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes
19,CA-2014-143336,Female,Month-to-month,Yes,Electronic check,90.05,1862.9,No
20,CA-2014-143336,Male,Month-to-month,Yes,Electronic check,39.65,39.65,Yes
21,CA-2016-137330,Male,One year,No,Bank transfer (automatic),19.8,202.25,No
22,CA-2016-137330,Male,Month-to-month,No,Mailed check,20.15,20.15,Yes
23,US-2017-156909,Male,Two year,Yes,Credit card (automatic),59.9,3505.1,No
24,CA-2015-106320,Female,Month-to-month,No,Credit card (automatic),59.6,2970.3,No
25,CA-2016-121755,Male,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No
26,CA-2016-121755,Male,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes
27,US-2015-150630,Female,Month-to-month,No,Electronic check,30.2,30.2,Yes
28,US-2015-150630,Female,Two year,Yes,Credit card (automatic),90.25,6369.45,No
29,US-2015-150630,Male,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes
30,US-2015-150630,Male,Two year,Yes,Credit card (automatic),96.35,6766.95,No
31,US-2015-150630,Male,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No
32,US-2015-150630,Male,One year,No,Mailed check,66.15,1874.45,No
33,US-2015-150630,Male,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No
34,CA-2017-107727,Female,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No
35,CA-2016-117590,Female,Two year,No,Bank transfer (automatic),99.9,7251.7,No
36,CA-2016-117590,Male,Month-to-month,Yes,Electronic check,69.7,316.9,Yes
37,CA-2015-117415,Male,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No
38,CA-2015-117415,Male,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes
39,CA-2015-117415,Male,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes
40,CA-2015-117415,Male,One year,No,Mailed check,49.55,475.7,No
41,CA-2017-120999,Male,Two year,Yes,Credit card (automatic),69.2,4872.35,No
42,CA-2016-101343,Male,One year,No,Mailed check,20.75,418.25,No
43,CA-2017-139619,Female,Two year,Yes,Credit card (automatic),79.85,4861.45,No
44,CA-2016-118255,Female,Month-to-month,Yes,Electronic check,76.2,981.45,No
45,CA-2016-118255,Female,Month-to-month,Yes,Electronic check,84.5,3906.7,No
46,CA-2014-146703,Male,Month-to-month,No,Mailed check,49.25,97.0,No
47,CA-2016-169194,Male,Month-to-month,Yes,Electronic check,80.65,144.15,Yes
48,CA-2016-169194,Female,Two year,Yes,Credit card (automatic),79.75,4217.8,No
49,CA-2015-115742,Male,Two year,Yes,Credit card (automatic),64.15,4254.1,No
50,CA-2015-115742,Male,Month-to-month,Yes,Electronic check,90.25,3838.75,No
51,CA-2015-115742,Male,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes
52,CA-2015-115742,Female,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No
53,CA-2016-105816,Male,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes
54,CA-2016-105816,Male,One year,Yes,Credit card (automatic),74.85,4456.35,No
55,CA-2016-111682,Female,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes
56,CA-2016-111682,Male,One year,Yes,Credit card (automatic),99.65,6311.2,No
57,CA-2016-111682,Female,One year,Yes,Electronic check,108.45,7076.35,No
58,CA-2016-111682,Female,Two year,No,Credit card (automatic),24.95,894.3,No
59,CA-2016-111682,Male,Two year,Yes,Credit card (automatic),107.5,7853.7,No
60,CA-2016-111682,Male,Month-to-month,Yes,Electronic check,100.5,4707.1,No
61,CA-2016-111682,Female,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No
62,CA-2015-135545,Male,Two year,No,Bank transfer (automatic),42.1,2962.0,No
63,CA-2015-135545,Female,One year,Yes,Credit card (automatic),54.4,957.1,No
64,CA-2015-135545,Male,Month-to-month,No,Electronic check,94.4,857.25,Yes
65,CA-2015-135545,Female,Month-to-month,Yes,Electronic check,75.3,244.1,No
66,US-2015-164175,Male,One year,Yes,Electronic check,78.9,3650.35,No
67,CA-2014-106376,Female,Two year,No,Mailed check,79.2,2497.2,No
68,CA-2014-106376,Female,Two year,No,Bank transfer (automatic),20.15,930.9,No
69,CA-2016-119823,Female,Month-to-month,Yes,Mailed check,79.85,887.35,No
70,CA-2016-106075,Female,Month-to-month,No,Mailed check,49.05,49.05,No
71,CA-2017-114440,Female,One year,Yes,Electronic check,20.4,1090.65,No
72,US-2015-134026,Female,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No
73,US-2015-134026,Female,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No
74,US-2015-134026,Female,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No
75,US-2017-118038,Female,One year,No,Electronic check,110.5,6139.5,No
76,US-2017-118038,Male,One year,No,Credit card (automatic),55.65,2688.85,No
77,US-2017-118038,Female,Month-to-month,No,Mailed check,54.65,482.25,No
78,US-2014-147606,Female,Month-to-month,Yes,Electronic check,74.75,2111.3,No
79,CA-2016-127208,Female,One year,Yes,Credit card (automatic),25.9,1216.6,No
80,CA-2016-127208,Female,Month-to-month,Yes,Electronic check,79.35,79.35,Yes
81,CA-2014-139451,Female,Month-to-month,No,Electronic check,50.55,565.35,No
82,CA-2014-139451,Female,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes
83,CA-2015-149734,Male,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No
84,US-2017-119662,Male,Two year,Yes,Bank transfer (automatic),20.15,973.35,No
85,CA-2017-140088,Male,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No
86,CA-2017-155558,Female,One year,Yes,Bank transfer (automatic),62.15,2215.45,No
87,CA-2017-155558,Female,Two year,No,Bank transfer (automatic),20.65,1057.0,No
88,CA-2016-159695,Female,Two year,Yes,Mailed check,19.95,927.1,No
89,CA-2016-109806,Male,Month-to-month,No,Mailed check,33.75,1009.25,No
90,CA-2016-109806,Male,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No
91,CA-2016-109806,Female,Month-to-month,No,Electronic check,74.7,74.7,No
92,CA-2015-149587,Male,Two year,Yes,Mailed check,84.0,5714.25,No
93,CA-2015-149587,Male,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No
94,CA-2015-149587,Male,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No
95,US-2017-109484,Female,Month-to-month,Yes,Electronic check,78.95,927.35,Yes
96,CA-2017-161018,Male,One year,Yes,Credit card (automatic),66.85,4748.7,No
97,CA-2017-157833,Male,Month-to-month,No,Mailed check,21.05,113.85,Yes
98,CA-2016-149223,Male,Two year,No,Bank transfer (automatic),21.0,1107.2,No
99,CA-2016-158568,Female,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes
100,CA-2016-158568,Male,Month-to-month,No,Mailed check,20.2,20.2,No
101,CA-2016-158568,Male,Month-to-month,No,Electronic check,19.45,19.45,No
102,CA-2016-129903,Male,One year,No,Bank transfer (automatic),95.0,3605.6,No
103,US-2015-156867,Female,One year,No,Bank transfer (automatic),45.55,3027.25,No
104,US-2015-156867,Male,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes
105,US-2015-156867,Male,Month-to-month,No,Mailed check,24.3,100.2,No
106,CA-2017-119004,Female,One year,Yes,Electronic check,104.15,7303.05,No
107,CA-2017-119004,Male,One year,No,Mailed check,30.15,927.65,No
108,CA-2017-119004,Male,One year,No,Mailed check,94.35,3921.3,No
109,CA-2015-129476,Female,Two year,No,Credit card (automatic),19.4,1363.25,No
110,CA-2017-146780,Male,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes
111,CA-2016-128867,Female,One year,No,Credit card (automatic),57.95,3042.25,No
112,CA-2016-128867,Male,Month-to-month,Yes,Electronic check,91.65,3954.1,No
113,CA-2014-115259,Male,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes
114,CA-2014-115259,Female,Two year,Yes,Electronic check,54.6,3423.5,No
115,CA-2014-115259,Female,Month-to-month,No,Electronic check,89.85,248.4,No
116,CA-2014-115259,Female,Two year,No,Bank transfer (automatic),31.05,1126.35,No
117,CA-2015-110457,Female,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes
118,US-2015-136476,Male,Two year,No,Mailed check,20.65,835.15,No
119,CA-2016-103730,Male,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,No
120,CA-2016-103730,Female,One year,Yes,Credit card (automatic),99.8,5515.45,No
121,CA-2016-103730,Male,Month-to-month,No,Mailed check,20.7,112.75,No
122,CA-2016-103730,Male,Month-to-month,Yes,Electronic check,74.4,229.55,Yes
123,CA-2016-103730,Male,Month-to-month,No,Mailed check,50.7,350.35,No
124,US-2014-152030,Male,Month-to-month,No,Mailed check,20.85,62.9,No
125,US-2014-134614,Male,Two year,Yes,Electronic check,88.95,3027.65,No
126,US-2017-107272,Female,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes
127,US-2017-107272,Male,Two year,Yes,Bank transfer (automatic),23.55,1723.95,No
128,US-2016-125969,Female,Month-to-month,No,Mailed check,19.75,19.75,No
129,US-2016-125969,Male,One year,Yes,Electronic check,56.45,3985.35,No
130,US-2017-164147,Male,Month-to-month,Yes,Electronic check,85.95,1215.65,No
131,US-2017-164147,Female,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes
