,Order ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
0,CA-2016-152156,Female,Yes,36.0,Yes,Engineer,0.0,Low,1.0,Cat_6,B
1,CA-2016-152156,Male,Yes,37.0,Yes,Healthcare,8.0,Average,4.0,Cat_6,A
2,CA-2016-138688,Female,Yes,69.0,No,Healthcare,0.0,Low,1.0,Cat_6,A
3,US-2015-108966,Male,Yes,59.0,No,Executive,11.0,High,2.0,Cat_6,B
4,US-2015-108966,Female,No,19.0,No,Marketing,11.0,Low,4.0,Cat_6,A
5,CA-2014-115812,Male,Yes,47.0,Yes,Doctor,0.0,High,5.0,Cat_4,C
6,CA-2014-115812,Male,Yes,61.0,Yes,Doctor,5.0,Low,3.0,Cat_6,D
7,CA-2014-115812,Female,Yes,47.0,Yes,Artist,1.0,Average,3.0,Cat_6,D
8,CA-2014-115812,Male,Yes,50.0,Yes,Artist,2.0,Average,4.0,Cat_6,B
9,CA-2014-115812,Male,No,19.0,No,Healthcare,0.0,Low,4.0,Cat_6,B
10,CA-2014-115812,Male,No,22.0,No,Healthcare,0.0,Low,3.0,Cat_6,D
11,CA-2014-115812,Female,No,22.0,No,Healthcare,0.0,Low,6.0,Cat_6,D
12,CA-2017-114412,Male,Yes,50.0,Yes,Artist,1.0,Average,5.0,Cat_6,A
13,CA-2016-161389,Male,No,27.0,No,Healthcare,8.0,Low,3.0,Cat_3,D
14,US-2015-118983,Male,No,18.0,No,Doctor,0.0,Low,3.0,Cat_6,D
15,US-2015-118983,Female,Yes,61.0,Yes,Artist,0.0,Low,1.0,Cat_6,C
16,CA-2014-105893,Female,Yes,20.0,Yes,Lawyer,1.0,Average,3.0,Cat_3,D
17,CA-2014-167164,Male,Yes,45.0,Yes,Artist,1.0,Average,2.0,Cat_6,B
18,CA-2014-143336,Male,Yes,55.0,Yes,Artist,8.0,Low,1.0,Cat_6,B
19,CA-2014-143336,Female,Yes,88.0,Yes,Lawyer,1.0,Average,4.0,Cat_6,C
20,CA-2014-143336,Male,Yes,63.0,No,Executive,1.0,High,3.0,Cat_6,A
21,CA-2016-137330,Male,Yes,69.0,No,Lawyer,1.0,High,3.0,Cat_6,D
22,CA-2016-137330,Male,No,42.0,Yes,Artist,0.0,Low,4.0,Cat_3,A
23,US-2017-156909,Male,Yes,79.0,No,Executive,0.0,High,2.0,Cat_6,B
24,CA-2015-106320,Female,Yes,35.0,Yes,Healthcare,9.0,High,3.0,Cat_6,B
25,CA-2016-121755,Male,Yes,27.0,No,Executive,5.0,High,4.0,Cat_6,B
26,CA-2016-121755,Male,Yes,52.0,Yes,Engineer,5.0,Low,2.0,Cat_6,A
27,US-2015-150630,Female,No,29.0,Yes,Healthcare,0.0,Low,4.0,Cat_4,B
28,US-2015-150630,Female,Yes,79.0,No,Lawyer,1.0,High,2.0,Cat_6,A
29,US-2015-150630,Male,Yes,87.0,Yes,Lawyer,1.0,High,2.0,Cat_6,C
30,US-2015-150630,Male,Yes,89.0,No,Lawyer,1.0,Low,2.0,Cat_6,C
31,US-2015-150630,Male,Yes,63.0,Yes,Artist,9.0,Average,3.0,Cat_6,A
32,US-2015-150630,Male,No,31.0,No,Artist,1.0,Low,2.0,Cat_6,B
33,US-2015-150630,Male,Yes,72.0,Yes,Artist,1.0,Average,6.0,Cat_1,D
34,CA-2017-107727,Female,Yes,41.0,Yes,Doctor,9.0,Average,2.0,Cat_1,D
35,CA-2016-117590,Female,No,61.0,Yes,Artist,11.0,Low,1.0,Cat_6,C
36,CA-2016-117590,Male,Yes,62.0,Yes,Artist,0.0,Low,2.0,Cat_6,A
37,CA-2015-117415,Male,Yes,56.0,Yes,Artist,1.0,Average,2.0,Cat_6,B
38,CA-2015-117415,Male,Yes,60.0,Yes,Artist,2.0,Average,5.0,Cat_6,C
39,CA-2015-117415,Male,Yes,68.0,Yes,Artist,0.0,High,2.0,Cat_6,B
40,CA-2015-117415,Male,No,19.0,No,Healthcare,0.0,Low,8.0,Cat_6,A
41,CA-2017-120999,Male,Yes,57.0,Yes,Executive,8.0,High,3.0,Cat_6,D
42,CA-2016-101343,Male,No,19.0,No,Healthcare,5.0,Low,5.0,Cat_2,A
43,CA-2017-139619,Female,Yes,51.0,Yes,Artist,3.0,Average,6.0,Cat_6,C
44,CA-2016-118255,Female,Yes,86.0,No,Artist,1.0,High,2.0,Cat_6,A
45,CA-2016-118255,Female,Yes,74.0,No,Lawyer,1.0,High,2.0,Cat_6,C
46,CA-2014-146703,Male,No,23.0,No,Entertainment,6.0,Low,2.0,Cat_6,B
47,CA-2016-169194,Male,Yes,47.0,Yes,Artist,0.0,Average,2.0,Cat_6,D
48,CA-2016-169194,Female,No,19.0,No,Healthcare,7.0,Low,6.0,Cat_6,D
49,CA-2015-115742,Male,Yes,50.0,No,Artist,0.0,High,4.0,Cat_6,B
50,CA-2015-115742,Male,Yes,80.0,Yes,Lawyer,0.0,High,2.0,Cat_6,B
51,CA-2015-115742,Male,Yes,78.0,No,Lawyer,0.0,Low,1.0,Cat_2,C
52,CA-2015-115742,Female,No,48.0,Yes,Doctor,0.0,Low,1.0,Cat_6,A
53,CA-2016-105816,Male,Yes,70.0,Yes,Doctor,1.0,Average,2.0,Cat_6,B
54,CA-2016-105816,Male,Yes,50.0,Yes,Executive,3.0,High,5.0,Cat_6,D
55,CA-2016-111682,Female,Yes,83.0,Yes,Lawyer,0.0,High,2.0,Cat_6,C
56,CA-2016-111682,Male,No,35.0,Yes,Entertainment,0.0,Low,1.0,Cat_6,A
57,CA-2016-111682,Female,No,36.0,Yes,Artist,0.0,Low,2.0,Cat_5,D
58,CA-2016-111682,Female,No,35.0,Yes,Artist,1.0,Low,1.0,Cat_6,B
59,CA-2016-111682,Male,Yes,35.0,Yes,Artist,0.0,Average,2.0,Cat_6,D
60,CA-2016-111682,Male,No,18.0,No,Healthcare,3.0,Low,3.0,Cat_2,C
